taxonTypeCode,taxonID,acceptedTaxonID,scientificName,scientificNameAuthorship,taxonRank,vernacularName,taxonProtocolCategory,nameAccordingToID,nameAccordingToTitle,kingdom,subkingdom,infrakingdom,superdivision,division,subdivision,infradivision,parvdivision,superphylum,phylum,subphylum,infraphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,section,subsection,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,species,subspecies,variety,subvariety,form,subform,race,stirp,morph,abberation,unspecified,speciesGroup,specificEpithet,infraspecificEpithet
FISH,ACIMED,ACIMED,Acipenser medirostris,Ayres,species,,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Acipenseriformes,,,,,,Acipenseridae,,,,Acipenser,,Acipenser medirostris,,,,,,,,,,,,medirostris,
FISH,ACIOXY,ACIOXY,Acipenser oxyrinchus,Mitchill,species,,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Acipenseriformes,,,,,,Acipenseridae,,,,Acipenser,,Acipenser oxyrinchus,,,,,,,,,,,,oxyrinchus,
FISH,ACIOXY1,ACIOXY1,Acipenser oxyrinchus desotoi,Vladykov,subspecies,Gulf Sturgeon,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=624005 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=624005, accessed 31 Aug 2017",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Acipenseriformes,,,,,,Acipenseridae,,,,Acipenser,,Acipenser oxyrinchus,desotoi,,,,,,,,,,,oxyrinchus,desotoi
FISH,ACIOXY2,ACIOXY2,Acipenser oxyrinchus oxyrinchus,Mitchill,subspecies,Atlantic sturgeon,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=624004 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=624004, accessed 31 Aug 2017",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Acipenseriformes,,,,,,Acipenseridae,,,,Acipenser,,Acipenser oxyrinchus,oxyrinchus,,,,,,,,,,,oxyrinchus,oxyrinchus
FISH,ACIOXY3,ACIOXY1,Acipenser oxyrhynchus desotoi,Vladykov,subspecies,Gulf Sturgeon,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=201894 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=201894, accessed 31 Aug 2017",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Acipenseriformes,,,,,,Acipenseridae,,,,Acipenser,,Acipenser oxyrhynchus,desotoi,,,,,,,,,,,oxyrhynchus,desotoi
FISH,ACIOXY4,ACIOXY4,Acipenser oxyrhynchus,Mitchill,species,,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=573257 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=573257, accessed 31 Aug 2017",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Acipenseriformes,,,,,,Acipenseridae,,,,Acipenser,,Acipenser oxyrhynchus,,,,,,,,,,,,oxyrhynchus,
FISH,ACISP,ACISP,Acipenser sp.,,genus,,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161065 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161065, accessed 31 Aug 2017",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Acipenseriformes,,,,,,Acipenseridae,,,,Acipenser,,,,,,,,,,,,,,sp.,
FISH,ACISP1,ACISP1,Acipenseridae sp.,,family,,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161064 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161064, accessed 31 Aug 2017",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Acipenseriformes,,,,,,Acipenseridae,,,,,,,,,,,,,,,,,,sp.,
FISH,ACISP2,ACISP2,Acipenseriformes sp.,,order,,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161063 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161063, accessed 31 Aug 2017",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Acipenseriformes,,,,,,,,,,,,,,,,,,,,,,,,sp.,
FISH,ACISPP,ACISPP,Acipenser spp.,,genus,,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161065 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161065, accessed 31 Aug 2017",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Acipenseriformes,,,,,,Acipenseridae,,,,Acipenser,,,,,,,,,,,,,,spp.,
FISH,ACISPP1,ACISPP1,Acipenseridae spp.,,family,,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161064 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161064, accessed 31 Aug 2017",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Acipenseriformes,,,,,,Acipenseridae,,,,,,,,,,,,,,,,,,spp.,
FISH,ACISPP2,ACISPP2,Acipenseriformes spp.,,order,,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161063 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161063, accessed 31 Aug 2017",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Acipenseriformes,,,,,,,,,,,,,,,,,,,,,,,,spp.,
FISH,ACITRA,ACITRA,Acipenser transmontanus,Richardson,species,,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Acipenseriformes,,,,,,Acipenseridae,,,,Acipenser,,Acipenser transmontanus,,,,,,,,,,,,transmontanus,
FISH,ACRALU,ACRALU,Acrocheilus alutaceus,Agassiz & Pickering,species,,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Cypriniformes,,,,,,Cyprinidae,,,,Acrocheilus,,Acrocheilus alutaceus,,,,,,,,,,,,alutaceus,
FISH,ACRSP,ACRSP,Acrocheilus sp.,,genus,,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=163530 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=163530, accessed 31 Aug 2017",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Cypriniformes,,,,,,Cyprinidae,,,,Acrocheilus,,,,,,,,,,,,,,sp.,
FISH,ACRSPP,ACRSPP,Acrocheilus spp.,,genus,,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=163530 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=163530, accessed 31 Aug 2017",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Cypriniformes,,,,,,Cyprinidae,,,,Acrocheilus,,,,,,,,,,,,,,spp.,
FISH,ACTSP,ACTSP,Actinopterygii sp.,,class,,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161061 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161061, accessed 31 Aug 2017",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,,,,,,,,,,,,,,,,,,,,,,,,,sp.,
FISH,ACTSPP,ACTSPP,Actinopterygii spp.,,class,,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161061 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161061, accessed 31 Aug 2017",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,,,,,,,,,,,,,,,,,,,,,,,,,spp.,
FISH,ADISP,ADISP,Adinia sp.,,genus,,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=165681 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=165681, accessed 31 Aug 2017",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Cyprinodontiformes,,,,,,Fundulidae,,,,Adinia,,,,,,,,,,,,,,sp.,
FISH,ADISPP,ADISPP,Adinia spp.,,genus,,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=165681 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=165681, accessed 31 Aug 2017",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Cyprinodontiformes,,,,,,Fundulidae,,,,Adinia,,,,,,,,,,,,,,spp.,
FISH,ADIXEN,ADIXEN,Adinia xenica,(Jordan & Gilbert),species,,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Cyprinodontiformes,,,,,,Fundulidae,,,,Adinia,,Adinia xenica,,,,,,,,,,,,xenica,
FISH,ADRSP,ADRSP,Adrianichthyidae sp.,,family,,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=165623 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=165623, accessed 31 Aug 2017",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Beloniformes,,,,,,Adrianichthyidae,,,,,,,,,,,,,,,,,,sp.,
FISH,ADRSPP,ADRSPP,Adrianichthyidae spp.,,family,,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=165623 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=165623, accessed 31 Aug 2017",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Beloniformes,,,,,,Adrianichthyidae,,,,,,,,,,,,,,,,,,spp.,
FISH,AGOCHR,AGOCHR,Agosia chrysogaster,Girard,species,,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Cypriniformes,,,,,,Cyprinidae,,,,Agosia,,Agosia chrysogaster,,,,,,,,,,,,chrysogaster,
FISH,AGOMON,AGOMON,Agonostomus monticola,(Bancroft),species,,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Mugiliformes,,,,,,Mugilidae,,,,Agonostomus,,Agonostomus monticola,,,,,,,,,,,,monticola,
FISH,AGOOSC,RHIOSC,Agosia oscula,(Girard),species,,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Cypriniformes,,,,,,Cyprinidae,,,,Agosia,,Agosia oscula,,,,,,,,,,,,oscula,
FISH,AGOSP,AGOSP,Agosia sp.,,genus,,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=163532 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=163532, accessed 31 Aug 2017",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Cypriniformes,,,,,,Cyprinidae,,,,Agosia,,,,,,,,,,,,,,sp.,
FISH,AGOSP1,AGOSP1,Agonostomus sp.,,genus,,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=170354 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=170354, accessed 31 Aug 2017",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Mugiliformes,,,,,,Mugilidae,,,,Agonostomus,,,,,,,,,,,,,,sp.,
FISH,AGOSPP,AGOSPP,Agosia spp.,,genus,,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=163532 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=163532, accessed 31 Aug 2017",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Cypriniformes,,,,,,Cyprinidae,,,,Agosia,,,,,,,,,,,,,,spp.,
FISH,AGOSPP1,AGOSPP1,Agonostomus spp.,,genus,,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=170354 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=170354, accessed 31 Aug 2017",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Mugiliformes,,,,,,Mugilidae,,,,Agonostomus,,,,,,,,,,,,,,spp.,
FISH,ALOAES,ALOAES,Alosa aestivalis,(Mitchill),species,,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Clupeiformes,,,,,,Clupeidae,,,,Alosa,,Alosa aestivalis,,,,,,,,,,,,aestivalis,
FISH,ALOALA,ALOALA,Alosa alabamae,Jordan & Evermann,species,,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Clupeiformes,,,,,,Clupeidae,,,,Alosa,,Alosa alabamae,,,,,,,,,,,,alabamae,
FISH,ALOCHR,ALOCHR,Alosa chrysochloris,(Rafinesque),species,,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Clupeiformes,,,,,,Clupeidae,,,,Alosa,,Alosa chrysochloris,,,,,,,,,,,,chrysochloris,
FISH,ALOMED,ALOMED,Alosa mediocris,(Mitchill),species,,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Clupeiformes,,,,,,Clupeidae,,,,Alosa,,Alosa mediocris,,,,,,,,,,,,mediocris,
FISH,ALOPSE,ALOPSE,Alosa pseudoharengus,(Wilson),species,,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Clupeiformes,,,,,,Clupeidae,,,,Alosa,,Alosa pseudoharengus,,,,,,,,,,,,pseudoharengus,
FISH,ALOSAP,ALOSAP,Alosa sapidissima,(Wilson),species,,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Clupeiformes,,,,,,Clupeidae,,,,Alosa,,Alosa sapidissima,,,,,,,,,,,,sapidissima,
FISH,ALOSP,ALOSP,Alosa sp.,,genus,,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161701 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161701, accessed 31 Aug 2017",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Clupeiformes,,,,,,Clupeidae,,,,Alosa,,,,,,,,,,,,,,sp.,
FISH,ALOSPP,ALOSPP,Alosa spp.,,genus,,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161701 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161701, accessed 31 Aug 2017",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Clupeiformes,,,,,,Clupeidae,,,,Alosa,,,,,,,,,,,,,,spp.,
FISH,AMANIG,AMANIG,Amatitlania nigrofasciata,(Günther),species,,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Perciformes,,,,,,Cichlidae,,,,Amatitlania,,Amatitlania nigrofasciata,,,,,,,,,,,,nigrofasciata,
FISH,AMASP,AMASP,Amatitlania sp.,,genus,,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161087 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161087, accessed 31 Aug 2017",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Perciformes,,,,,,Cichlidae,,,,Amatitlania,,,,,,,,,,,,,,sp.,
FISH,AMASPP,AMASPP,Amatitlania spp.,,genus,,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161087 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161087, accessed 31 Aug 2017",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Perciformes,,,,,,Cichlidae,,,,Amatitlania,,,,,,,,,,,,,,spp.,
FISH,AMBARI,AMBARI,Ambloplites ariommus,Viosca,species,,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Perciformes,,,,,,Centrarchidae,,,,Ambloplites,,Ambloplites ariommus,,,,,,,,,,,,ariommus,
FISH,AMBCAV,AMBCAV,Ambloplites cavifrons,Cope,species,,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Perciformes,,,,,,Centrarchidae,,,,Ambloplites,,Ambloplites cavifrons,,,,,,,,,,,,cavifrons,
FISH,AMBCON,AMBCON,Ambloplites constellatus,Cashner & Suttkus,species,,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Perciformes,,,,,,Centrarchidae,,,,Ambloplites,,Ambloplites constellatus,,,,,,,,,,,,constellatus,
FISH,AMBHOO,AMBHOO,Amblyopsis hoosieri,"Niemiller, Prejean & Chakrabarty",species,,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Percopsiformes,,,,,,Amblyopsidae,,,,Amblyopsis,,Amblyopsis hoosieri,,,,,,,,,,,,hoosieri,
FISH,AMBROS,AMBROS,Amblyopsis rosae,(Eigenmann),species,,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Percopsiformes,,,,,,Amblyopsidae,,,,Amblyopsis,,Amblyopsis rosae,,,,,,,,,,,,rosae,
FISH,AMBRUP,AMBRUP,Ambloplites rupestris,(Rafinesque),species,,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Perciformes,,,,,,Centrarchidae,,,,Ambloplites,,Ambloplites rupestris,,,,,,,,,,,,rupestris,
FISH,AMBSP,AMBSP,Ambloplites sp.,,genus,,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=168096 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=168096, accessed 31 Aug 2017",Animalia,,,,,,,,,Chordata,,,,Actinopterygii,,,,Perciformes,,,,,,Centrarchidae,,,,Ambloplites,,,,,,,,,,,,,,sp.,
