reach_id,pass,total_fish
ARIK.20210408.09,2,5
ARIK.20210408.09,3,6
ARIK.20220329.01,1,1
ARIK.20220329.01,3,1
ARIK.20220329.03,1,6
ARIK.20220329.04,1,22
ARIK.20220330.06,1,3
ARIK.20220330.06,2,7
ARIK.20220330.06,3,4
ARIK.20220331.09,1,2
ARIK.20220331.09,2,1
ARIK.20220331.09,3,8
ARIK.20220331.10,1,1
BIGC.20180515.01,1,9
BIGC.20180515.01,2,14
BIGC.20180515.01,3,18
BIGC.20180516.02,1,34
BIGC.20180516.03,1,25
BIGC.20180517.04,1,59
BIGC.20180517.04,2,42
BIGC.20180517.04,3,18
BIGC.20180518.06,1,48
BIGC.20180518.07,3,1
BIGC.20180518.09,1,56
BIGC.20180518.09,2,36
BIGC.20180518.09,3,19
BIGC.20181015.01,1,34
BIGC.20181015.01,2,22
BIGC.20181015.01,3,15
BIGC.20181016.02,1,60
BIGC.20181016.03,1,55
BIGC.20181017.04,1,68
BIGC.20181017.04,2,29
BIGC.20181017.04,3,8
BIGC.20181017.06,1,44
BIGC.20181018.07,1,62
BIGC.20181018.07,2,14
BIGC.20181018.07,3,9
BIGC.20190422.01,1,27
BIGC.20190422.01,2,7
BIGC.20190422.01,3,10
BIGC.20190423.04,1,36
BIGC.20190423.04,2,23
BIGC.20190423.04,3,17
BIGC.20190424.05,1,38
BIGC.20190424.07,1,15
BIGC.20190424.07,2,12
BIGC.20190424.07,3,7
BIGC.20190425.08,1,40
BIGC.20190425.09,1,33
BIGC.20191021.01,1,54
BIGC.20191021.01,2,11
BIGC.20191021.01,3,10
BIGC.20191022.04,1,71
BIGC.20191022.04,2,26
BIGC.20191022.04,3,22
BIGC.20191023.05,1,76
BIGC.20191023.07,1,53
BIGC.20191023.07,2,8
BIGC.20191023.07,3,12
BIGC.20191024.08,1,87
BIGC.20191024.09,1,80
BIGC.20210419.01,1,39
BIGC.20210419.01,2,21
BIGC.20210419.01,3,8
BIGC.20210420.03,1,42
BIGC.20210420.04,1,25
BIGC.20210420.04,2,8
BIGC.20210420.04,3,3
BIGC.20210421.05,1,37
BIGC.20210421.07,1,44
BIGC.20210421.07,2,23
BIGC.20210421.07,3,12
BIGC.20210422.09,1,77
BIGC.20220425.01,1,24
BIGC.20220425.01,2,9
BIGC.20220425.01,3,13
BIGC.20220426.02,1,31
BIGC.20220426.04,1,57
BIGC.20220426.04,2,27
BIGC.20220426.04,3,14
BIGC.20220427.07,1,61
BIGC.20220427.07,2,20
BIGC.20220427.07,3,6
BIGC.20220427.08,1,39
BIGC.20220428.10,1,64
BIGC.20221011.01,1,12
BIGC.20221011.01,2,8
BIGC.20221011.01,3,2
BLDE.20180917.01,1,17
BLDE.20180918.02,1,14
BLDE.20180918.02,2,11
BLDE.20180918.02,3,4
BLDE.20180918.03,1,23
BLDE.20180918.03,2,9
BLDE.20180918.03,3,14
BLDE.20180919.06,1,14
BLDE.20180919.06,2,10
BLDE.20180919.06,3,8
BLDE.20180920.07,1,11
BLDE.20180920.08,1,11
BLDE.20190923.02,1,22
BLDE.20190923.02,2,15
BLDE.20190923.02,3,10
BLDE.20190924.03,1,48
BLDE.20190924.03,2,23
BLDE.20190924.03,3,11
BLDE.20190924.04,1,31
BLDE.20190925.06,1,26
BLDE.20190925.06,2,19
BLDE.20190925.06,3,18
BLDE.20190926.09,1,28
BLDE.20190926.10,1,52
BLDE.20201006.02,1,23
BLDE.20201006.02,2,16
BLDE.20201006.02,3,11
BLDE.20210927.01,1,33
BLDE.20210927.02,1,36
BLDE.20210927.02,2,14
BLDE.20210927.02,3,14
BLDE.20210928.03,1,54
BLDE.20210928.03,2,26
BLDE.20210928.03,3,25
BLDE.20210928.04,1,36
BLDE.20210929.06,1,47
BLDE.20210929.06,2,26
BLDE.20210929.06,3,22
BLDE.20210929.10,1,63
BLUE.20170321.06,1,314
BLUE.20170322.07,1,138
BLUE.20170322.07,2,151
BLUE.20170322.07,3,175
BLUE.20170323.02,1,51
BLUE.20170323.02,2,107
BLUE.20170323.02,3,117
BLUE.20170324.04,1,28
BLUE.20170324.04,2,66
BLUE.20170324.04,3,38
BLUE.20171030.05,1,181
BLUE.20171031.02,1,190
BLUE.20171031.02,2,96
BLUE.20171031.02,3,55
BLUE.20171101.04,1,223
BLUE.20171101.04,2,115
BLUE.20171101.04,3,66
BLUE.20171102.07,1,194
BLUE.20171102.07,2,190
BLUE.20171102.07,3,160
BLUE.20171103.06,1,378
BLUE.20171103.10,1,274
BLUE.20180326.09,1,236
BLUE.20180409.07,1,214
BLUE.20180409.07,2,121
BLUE.20180410.01,1,2
BLUE.20180410.02,1,174
BLUE.20220329.04,1,672
BLUE.20220329.04,2,375
BLUE.20220329.04,3,175
BLUE.20220330.05,1,60
CARI.20160926.01,1,9
CARI.20160926.01,2,8
CARI.20160926.01,3,2
CARI.20160927.02,1,10
CARI.20160927.05,1,3
CARI.20160928.06,1,1
CARI.20160928.08,1,2
CARI.20170524.09,1,1
CARI.20180904.01,1,1
CARI.20180904.01,2,1
CARI.20190520.01,1,1
CARI.20190916.04,1,1
CARI.20190917.10,1,1
CARI.20190917.10,2,1
CARI.20210524.02,1,2
CARI.20210525.03,1,1
CARI.20210525.06,3,1
CARI.20210526.10,1,1
CARI.20220531.01,1,2
CARI.20220531.01,2,1
CARI.20220602.05,1,1
CARI.20220825.01,1,24
CARI.20220825.01,2,15
CARI.20220825.01,3,17
CARI.20220825.04,1,5
CARI.20220826.05,1,23
CARI.20220826.06,1,9
CARI.20220826.06,2,1
CARI.20220826.06,3,1
CARI.20220826.07,1,28
CARI.20220829.10,1,12
CARI.20220829.10,2,1
CARI.20220829.10,3,1
CUPE.20170213.03,1,20
CUPE.20170213.03,2,8
CUPE.20170213.03,3,10
CUPE.20170214.04,1,30
CUPE.20170214.05,1,24
CUPE.20170215.06,1,38
CUPE.20170215.06,2,22
CUPE.20170215.06,3,4
CUPE.20170216.08,1,8
CUPE.20170216.08,2,14
CUPE.20170216.08,3,2
CUPE.20170217.10,1,18
CUPE.20171211.03,1,5
CUPE.20171211.03,2,1
CUPE.20171211.03,3,2
CUPE.20171211.04,1,4
CUPE.20171212.05,1,5
CUPE.20171212.06,1,6
CUPE.20171212.06,2,3
CUPE.20171212.06,3,2
CUPE.20171213.08,1,5
CUPE.20171213.08,2,4
CUPE.20171213.08,3,2
CUPE.20171214.10,1,5
CUPE.20180212.01,1,8
CUPE.20180212.02,1,4
CUPE.20180213.03,1,4
CUPE.20180213.03,2,1
CUPE.20180214.06,3,2
CUPE.20180214.07,1,7
CUPE.20180215.08,1,3
CUPE.20180215.08,2,4
CUPE.20180215.08,3,1
CUPE.20181126.01,1,9
CUPE.20181126.02,1,12
CUPE.20181127.03,1,7
CUPE.20181127.03,2,3
CUPE.20181127.03,3,3
CUPE.20181128.06,1,6
CUPE.20181128.06,2,3
CUPE.20181128.06,3,5
CUPE.20181128.07,1,8
CUPE.20181129.08,1,8
CUPE.20181129.08,2,4
CUPE.20181129.08,3,2
CUPE.20190204.03,1,18
CUPE.20190204.03,2,9
CUPE.20190204.03,3,3
CUPE.20190205.05,1,11
CUPE.20190205.06,1,26
CUPE.20190205.06,2,20
CUPE.20190205.06,3,5
CUPE.20190206.08,1,5
CUPE.20190207.09,1,7
CUPE.20190207.10,1,9
CUPE.20191202.03,1,14
CUPE.20191202.03,2,8
CUPE.20191202.03,3,4
CUPE.20191203.05,1,9
CUPE.20191203.06,1,20
CUPE.20191203.06,2,25
CUPE.20191203.06,3,19
CUPE.20191204.08,1,4
CUPE.20191204.08,2,3
CUPE.20191204.08,3,3
CUPE.20191205.09,1,7
CUPE.20191205.10,1,8
CUPE.20210222.03,1,41
CUPE.20210222.03,2,12
CUPE.20210222.03,3,8
CUPE.20211213.03,1,47
CUPE.20211213.03,2,32
CUPE.20211213.03,3,22
CUPE.20220221.03,1,56
CUPE.20220221.03,2,50
CUPE.20220221.03,3,14
CUPE.20220222.04,1,57
CUPE.20220222.05,1,37
GUIL.20170220.04,1,187
GUIL.20171204.02,3,1
GUIL.20171205.05,1,4
GUIL.20171205.05,2,5
GUIL.20171205.05,3,6
GUIL.20171206.07,1,2
GUIL.20171207.09,1,4
GUIL.20171207.09,2,2
GUIL.20171207.09,3,11
GUIL.20180205.01,1,24
GUIL.20180206.02,1,6
GUIL.20180206.02,2,3
GUIL.20180206.02,3,3
GUIL.20180206.03,1,11
GUIL.20180207.05,1,17
GUIL.20180207.05,2,12
GUIL.20180207.05,3,10
GUIL.20180207.06,1,30
GUIL.20180208.09,1,83
GUIL.20180208.09,2,47
GUIL.20180208.09,3,47
GUIL.20181203.01,1,662
GUIL.20181204.02,1,494
GUIL.20181204.02,2,374
GUIL.20181204.02,3,109
GUIL.20181205.03,1,424
GUIL.20181205.05,1,509
GUIL.20181205.05,2,343
GUIL.20181205.05,3,382
GUIL.20181206.06,1,926
GUIL.20181207.09,1,436
GUIL.20181207.09,2,196
GUIL.20181207.09,3,76
GUIL.20190211.02,1,790
GUIL.20190211.02,2,729
GUIL.20190212.05,1,962
GUIL.20190212.05,2,614
GUIL.20190212.05,3,436
GUIL.20190213.07,1,806
GUIL.20190213.08,1,387
GUIL.20190214.09,1,464
GUIL.20190214.09,2,97
GUIL.20190214.09,3,54
GUIL.20190214.10,1,216
GUIL.20191118.02,1,622
GUIL.20191118.02,2,512
GUIL.20191119.05,1,733
GUIL.20191119.05,2,490
GUIL.20191119.05,3,209
GUIL.20191120.07,1,240
GUIL.20191120.08,1,380
GUIL.20191121.09,1,537
GUIL.20191121.09,2,246
GUIL.20191121.09,3,119
GUIL.20210223.09,1,670
GUIL.20210223.09,2,416
GUIL.20210223.09,3,260
GUIL.20211214.09,1,343
GUIL.20211214.09,2,370
GUIL.20211214.09,3,291
GUIL.20220223.06,1,575
GUIL.20220223.07,1,315
GUIL.20220224.09,1,473
GUIL.20220224.09,2,318
GUIL.20220224.09,3,155
HOPB.20161024.03,1,78
HOPB.20161025.04,1,72
HOPB.20161025.04,2,36
HOPB.20161025.04,3,21
HOPB.20161025.05,1,89
HOPB.20161026.06,1,90
HOPB.20161026.06,2,55
HOPB.20161026.06,3,41
HOPB.20161027.09,1,160
HOPB.20161027.10,1,157
HOPB.20161027.10,2,109
HOPB.20161027.10,3,71
HOPB.20170501.01,1,14
HOPB.20170501.02,1,14
HOPB.20170502.04,1,6
HOPB.20170502.04,2,4
HOPB.20170502.04,3,12
HOPB.20170503.06,1,25
HOPB.20170503.06,2,14
HOPB.20170503.06,3,8
HOPB.20170503.08,1,140
HOPB.20170503.10,1,87
HOPB.20170503.10,2,61
HOPB.20170503.10,3,33
HOPB.20171023.01,1,45
HOPB.20171023.02,1,127
HOPB.20171024.04,1,49
HOPB.20171024.04,2,25
HOPB.20171024.04,3,21
HOPB.20171103.06,1,25
HOPB.20171103.06,2,21
HOPB.20171103.06,3,15
HOPB.20171108.08,1,51
HOPB.20171108.10,1,96
HOPB.20171108.10,2,54
HOPB.20171108.10,3,29
HOPB.20180430.04,1,17
HOPB.20180430.04,2,10
HOPB.20180430.04,3,13
HOPB.20180501.05,1,54
HOPB.20180501.06,1,18
HOPB.20180501.06,2,20
HOPB.20180501.06,3,16
HOPB.20180502.07,1,71
HOPB.20180502.09,1,69
HOPB.20180503.10,1,91
HOPB.20180503.10,2,53
HOPB.20180503.10,3,36
HOPB.20181022.04,1,24
HOPB.20181022.04,2,19
HOPB.20181022.04,3,9
HOPB.20181023.05,1,61
HOPB.20181023.06,1,27
HOPB.20181023.06,2,18
HOPB.20181023.06,3,11
HOPB.20181024.07,1,50
HOPB.20181024.09,1,52
HOPB.20181025.10,1,86
HOPB.20181025.10,2,57
HOPB.20181025.10,3,34
HOPB.20190506.01,1,23
HOPB.20190506.03,1,27
HOPB.20190507.04,1,20
HOPB.20190507.04,2,7
HOPB.20190507.04,3,7
HOPB.20190508.06,1,10
HOPB.20190508.06,2,7
HOPB.20190508.06,3,5
HOPB.20190508.08,1,44
HOPB.20190509.10,1,76
HOPB.20190509.10,2,38
HOPB.20190509.10,3,25
HOPB.20191021.01,1,66
HOPB.20191021.03,1,186
HOPB.20191022.04,1,57
HOPB.20191022.04,2,39
HOPB.20191022.04,3,28
HOPB.20191024.06,1,30
HOPB.20191024.06,2,19
HOPB.20191024.06,3,13
HOPB.20191024.08,1,161
HOPB.20191025.10,1,128
HOPB.20191025.10,2,94
HOPB.20191025.10,3,73
HOPB.20201026.02,1,95
HOPB.20201026.04,1,56
HOPB.20201026.04,2,18
HOPB.20201026.04,3,15
HOPB.20201027.06,1,76
HOPB.20201027.06,2,28
HOPB.20201027.06,3,22
HOPB.20201028.07,1,97
HOPB.20201028.09,1,131
HOPB.20201029.10,1,162
HOPB.20201029.10,2,114
HOPB.20201029.10,3,46
HOPB.20210503.03,1,50
HOPB.20210504.04,1,10
HOPB.20210504.04,2,13
HOPB.20210504.04,3,11
HOPB.20210504.05,1,65
HOPB.20211029.04,1,31
HOPB.20211029.04,2,20
HOPB.20211029.04,3,13
HOPB.20220503.01,1,29
HOPB.20220504.02,1,42
HOPB.20220505.04,1,4
HOPB.20220505.04,3,3
HOPB.20220506.06,1,34
HOPB.20220506.06,2,14
HOPB.20220506.06,3,5
HOPB.20221024.01,1,87
HOPB.20221025.02,1,97
HOPB.20221025.04,1,69
HOPB.20221025.04,2,36
HOPB.20221025.04,3,31
HOPB.20221026.06,1,56
HOPB.20221026.06,2,32
HOPB.20221026.06,3,27
KING.20170411.01,1,30
KING.20170411.01,2,72
KING.20170411.01,3,50
KING.20170411.02,1,19
KING.20170412.03,1,42
KING.20170412.03,2,18
KING.20170412.03,3,23
KING.20170413.04,1,26
KING.20170413.04,2,37
KING.20170413.04,3,29
KING.20170413.05,1,33
KING.20170413.06,1,85
KING.20171017.01,1,1359
KING.20171017.01,2,594
KING.20171018.01,3,1759
KING.20171018.02,1,499
KING.20171019.03,1,453
KING.20171019.03,2,236
KING.20171019.03,3,255
KING.20171020.04,1,314
KING.20171020.04,2,231
KING.20171020.04,3,280
KING.20171020.05,1,195
KING.20180411.01,1,247
KING.20180411.01,2,371
KING.20180412.01,3,535
KING.20180412.03,1,192
KING.20180412.03,2,136
KING.20180412.03,3,112
KING.20181031.03,1,4
KING.20181031.03,2,3
KING.20181101.01,1,180
KING.20181101.01,2,165
KING.20181101.01,3,181
KING.20190408.01,1,23
KING.20190408.01,2,27
KING.20190408.01,3,35
KING.20190409.02,1,79
KING.20190409.03,1,31
KING.20190409.03,2,29
KING.20190409.03,3,28
KING.20190410.04,1,68
KING.20190410.04,2,85
KING.20190410.04,3,105
KING.20190411.05,1,69
KING.20190411.10,1,151
KING.20191021.01,1,193
KING.20191021.01,2,198
KING.20191021.01,3,124
KING.20191022.02,1,263
KING.20191022.03,1,28
KING.20191022.03,2,14
KING.20191022.03,3,12
KING.20191023.04,1,31
KING.20191023.04,2,12
KING.20191023.04,3,11
KING.20191023.05,1,70
KING.20191024.10,1,3
KING.20200618.01,1,189
KING.20200618.01,2,131
KING.20200618.01,3,81
KING.20201019.01,1,998
KING.20201019.01,2,940
KING.20201020.01,3,808
KING.20201020.03,1,529
KING.20201020.03,2,600
KING.20201020.03,3,267
KING.20201021.04,1,281
KING.20201021.04,2,296
KING.20201021.04,3,447
KING.20201022.06,1,474
KING.20201022.07,1,167
KING.20210429.01,1,243
KING.20210429.01,2,233
KING.20210429.01,3,189
KING.20211018.01,1,985
KING.20211019.02,1,516
KING.20211019.05,1,761
KING.20211020.03,1,414
KING.20211020.03,2,362
KING.20211020.03,3,288
KING.20211021.04,1,361
KING.20211021.04,2,253
KING.20211021.04,3,179
KING.20211025.06,1,528
KING.20220426.07,1,241
KING.20220516.01,1,563
KING.20220516.01,2,353
KING.20220516.01,3,377
KING.20221017.01,1,1118
KING.20221017.01,2,680
KING.20221018.02,1,336
LECO.20161017.01,1,96
LECO.20161017.01,2,44
LECO.20161017.01,3,20
LECO.20161018.03,1,108
LECO.20161018.04,1,47
LECO.20161018.04,2,21
LECO.20161018.04,3,11
LECO.20161018.07,1,106
LECO.20161019.09,1,114
LECO.20161019.10,1,73
LECO.20161019.10,2,37
LECO.20161019.10,3,14
LECO.20171101.01,1,50
LECO.20171101.01,2,21
LECO.20171101.01,3,7
LECO.20171102.02,1,137
LECO.20171102.04,1,38
LECO.20171102.04,2,11
LECO.20171102.04,3,7
LECO.20171103.05,1,117
LECO.20171106.06,1,101
LECO.20171128.10,1,61
LECO.20171128.10,2,22
LECO.20171128.10,3,8
LECO.20180605.01,1,81
LECO.20180605.01,2,27
LECO.20180605.01,3,7
LECO.20180605.03,1,42
LECO.20180606.04,1,68
LECO.20180606.04,2,33
LECO.20180606.04,3,16
LECO.20180606.08,1,29
LECO.20180606.09,1,65
LECO.20180607.10,1,47
LECO.20180607.10,2,40
LECO.20180607.10,3,25
LECO.20181023.01,1,111
LECO.20181023.01,2,36
LECO.20181023.01,3,21
LECO.20181024.03,1,133
LECO.20181024.04,1,70
LECO.20181024.04,2,31
LECO.20181024.04,3,8
LECO.20181024.08,1,42
LECO.20181025.09,1,101
LECO.20181025.10,1,46
LECO.20181025.10,2,18
LECO.20181025.10,3,9
LECO.20190410.01,1,46
LECO.20190410.01,2,15
LECO.20190410.01,3,2
LECO.20190410.02,1,47
LECO.20190411.04,1,27
LECO.20190411.04,2,20
LECO.20190411.04,3,10
LECO.20190411.05,1,83
LECO.20190412.07,1,38
LECO.20190417.10,1,31
LECO.20190417.10,2,14
LECO.20190417.10,3,5
LECO.20191021.01,1,115
LECO.20191021.01,2,57
LECO.20191021.01,3,27
LECO.20191021.02,1,172
LECO.20191022.04,1,57
LECO.20191022.04,2,41
LECO.20191022.04,3,19
LECO.20191022.05,1,224
LECO.20191023.07,1,136
LECO.20191023.10,1,128
LECO.20191023.10,2,47
LECO.20191023.10,3,11
LECO.20210524.01,1,54
LECO.20210524.01,2,23
LECO.20210524.01,3,13
LECO.20210525.03,1,74
LECO.20210525.04,1,33
LECO.20210525.04,2,18
LECO.20210525.04,3,13
LECO.20210525.05,1,104
LECO.20210526.07,1,82
LECO.20210526.10,1,79
LECO.20210526.10,2,25
LECO.20210526.10,3,12
LECO.20211101.03,1,104
LECO.20211102.01,1,84
LECO.20211102.01,2,41
LECO.20211102.01,3,11
LECO.20211102.04,1,80
LECO.20211102.04,2,41
LECO.20211102.04,3,8
LECO.20211103.07,1,87
LECO.20211103.10,1,85
LECO.20211103.10,2,34
LECO.20211103.10,3,17
LECO.20211104.05,1,126
LECO.20220406.01,1,42
LECO.20220406.01,2,24
LECO.20220406.01,3,3
LECO.20220406.02,1,63
LECO.20221031.01,1,104
LECO.20221031.01,2,37
LECO.20221031.01,3,8
LECO.20221101.02,1,101
LECO.20221101.04,1,51
LECO.20221101.04,2,26
LECO.20221101.04,3,8
LECO.20221102.06,1,100
LECO.20221102.08,1,62
LECO.20221102.10,1,95
LECO.20221102.10,2,32
LECO.20221102.10,3,11
LEWI.20170410.01,1,321
LEWI.20170410.01,2,269
LEWI.20170410.01,3,182
LEWI.20170411.04,1,181
LEWI.20170411.04,2,78
LEWI.20170411.04,3,108
LEWI.20170411.05,1,110
LEWI.20170412.06,1,136
LEWI.20170412.07,1,123
LEWI.20170413.09,1,111
LEWI.20170413.09,2,81
LEWI.20170413.09,3,31
LEWI.20171113.01,1,160
LEWI.20171113.01,2,142
LEWI.20171113.01,3,64
LEWI.20171114.04,1,116
LEWI.20171114.04,2,91
LEWI.20171114.04,3,44
LEWI.20171115.05,1,58
LEWI.20171115.06,1,98
LEWI.20171115.07,1,79
LEWI.20171116.09,1,92
LEWI.20171116.09,2,54
LEWI.20171116.09,3,33
LEWI.20180409.01,1,127
LEWI.20180409.01,2,98
LEWI.20180409.01,3,55
LEWI.20180409.02,1,112
LEWI.20180410.03,1,95
LEWI.20180410.04,1,80
LEWI.20180410.04,2,45
LEWI.20180410.04,3,40
LEWI.20180411.08,1,66
LEWI.20180411.09,1,49
LEWI.20180411.09,2,28
LEWI.20180411.09,3,26
LEWI.20181029.01,1,102
LEWI.20181029.01,2,57
LEWI.20181029.01,3,49
LEWI.20181029.02,1,72
LEWI.20181030.03,1,89
LEWI.20181030.04,1,84
LEWI.20181030.04,2,61
LEWI.20181030.04,3,44
LEWI.20181031.08,1,72
LEWI.20181031.09,1,60
LEWI.20181031.09,2,40
LEWI.20181031.09,3,17
LEWI.20190416.01,1,59
LEWI.20190416.01,2,50
LEWI.20190416.01,3,43
LEWI.20190417.04,1,63
LEWI.20190417.04,2,41
LEWI.20190417.04,3,26
LEWI.20190417.05,1,72
LEWI.20190418.06,1,78
LEWI.20190418.09,1,48
LEWI.20190418.09,2,32
LEWI.20190418.09,3,31
LEWI.20190419.10,1,68
LEWI.20191029.01,1,126
LEWI.20191029.01,2,104
LEWI.20191029.01,3,68
LEWI.20191030.04,1,153
LEWI.20191030.04,2,77
LEWI.20191030.04,3,46
LEWI.20191030.05,1,69
LEWI.20191030.06,1,73
LEWI.20191101.09,1,116
LEWI.20191101.09,2,56
LEWI.20191101.09,3,27
LEWI.20201026.01,1,127
LEWI.20201026.01,2,116
LEWI.20201026.01,3,54
LEWI.20201026.02,1,107
LEWI.20201027.03,1,132
LEWI.20201027.04,1,93
LEWI.20201027.04,2,81
LEWI.20201027.04,3,64
LEWI.20201028.07,1,65
LEWI.20201028.09,1,63
LEWI.20201028.09,2,40
LEWI.20201028.09,3,29
LEWI.20210412.01,1,154
LEWI.20210412.01,2,123
LEWI.20210412.01,3,78
LEWI.20210413.04,1,110
LEWI.20210413.04,2,102
LEWI.20210413.04,3,71
LEWI.20210413.06,1,58
LEWI.20210414.08,1,78
LEWI.20210415.09,1,81
LEWI.20210415.09,2,31
LEWI.20210415.09,3,23
LEWI.20210415.10,1,59
LEWI.20211108.01,1,151
LEWI.20211108.01,2,90
LEWI.20211108.01,3,73
LEWI.20211109.04,1,134
LEWI.20211109.04,2,68
LEWI.20211109.04,3,63
LEWI.20211109.06,1,132
LEWI.20211110.08,1,119
LEWI.20211110.09,1,121
LEWI.20211110.09,2,58
LEWI.20211110.09,3,37
LEWI.20211111.10,1,109
LEWI.20220411.01,1,57
LEWI.20220411.01,2,63
LEWI.20220411.01,3,34
LEWI.20220411.03,1,60
LEWI.20220412.04,1,92
LEWI.20220412.04,2,56
LEWI.20220412.04,3,30
LEWI.20220412.05,1,60
LEWI.20220413.07,1,69
LEWI.20220413.09,1,57
LEWI.20220413.09,2,50
LEWI.20220413.09,3,21
LEWI.20221107.01,1,36
LEWI.20221107.01,2,48
LEWI.20221107.01,3,25
LEWI.20221107.03,1,49
LEWI.20221108.04,1,57
LEWI.20221108.04,2,32
LEWI.20221108.04,3,23
LEWI.20221108.05,1,35
LEWI.20221109.07,1,36
LEWI.20221109.09,1,86
LEWI.20221109.09,2,22
LEWI.20221109.09,3,32
MART.20181015.01,1,65
MART.20181015.01,2,37
MART.20181015.01,3,18
MART.20181016.03,1,79
MART.20181016.03,2,27
MART.20181016.03,3,25
MART.20181017.07,1,51
MART.20181017.07,2,27
MART.20181017.07,3,4
MART.20181017.09,1,33
MART.20181018.04,1,122
MART.20181018.05,1,12
MART.20191014.01,1,27
MART.20191014.01,2,14
MART.20191014.01,3,5
MART.20191015.02,1,42
MART.20191016.03,1,32
MART.20191016.03,2,12
MART.20191016.03,3,13
MART.20191016.06,1,27
MART.20191017.07,1,34
MART.20191017.07,2,15
MART.20191017.07,3,12
MART.20191017.08,1,34
MART.20200927.01,1,14
MART.20200927.01,2,10
MART.20200927.01,3,5
MART.20200928.03,1,12
MART.20200928.03,2,20
MART.20200928.03,3,9
MART.20200930.05,1,25
MART.20200930.06,1,14
MART.20201001.07,1,21
MART.20201001.07,2,9
MART.20201001.07,3,2
MART.20201001.09,1,20
MART.20221010.01,1,25
MART.20221010.01,2,20
MART.20221010.01,3,9
MART.20221011.03,1,22
MART.20221011.03,2,13
MART.20221011.03,3,4
MART.20221011.04,1,18
MART.20221012.07,1,29
MART.20221012.07,2,18
MART.20221012.07,3,4
MART.20221012.08,1,27
MAYF.20160405.02,1,46
MAYF.20160405.02,2,45
MAYF.20160406.04,1,33
MAYF.20160407.06,1,51
MAYF.20160407.07,1,52
MAYF.20160408.08,1,80
MAYF.20160408.09,1,19
MAYF.20160408.09,2,12
MAYF.20160408.09,3,6
MAYF.20161031.02,1,161
MAYF.20161031.02,2,82
MAYF.20161031.02,3,48
MAYF.20161101.04,1,113
MAYF.20161101.06,1,114
MAYF.20161102.07,1,117
MAYF.20161102.07,2,52
MAYF.20161102.07,3,33
MAYF.20161103.08,1,109
MAYF.20161103.09,1,54
MAYF.20161103.09,2,36
MAYF.20161103.09,3,21
MAYF.20170327.01,1,94
MAYF.20170328.02,1,23
