ID,Method,b,confMin,confMax,stdErr,site_id,year_month,mat_site,sdat_site
79,MLE,-1.242285759045912,-1.2431857590459119,-1.241385759045912,4.591836734693372e-4,LEWI,2018_3,12.70822481226918,0.22468126589237283
80,MLE,-1.2809163297749562,-1.2836363297749562,-1.2782063297749562,0.0013852040816326647,LEWI,2018_7,12.70822481226918,0.22468126589237283
78,MLE,-1.2810197840700828,-1.2833497840700827,-1.2786997840700827,0.0011862244897959293,LEWI,2018_10,12.70822481226918,0.22468126589237283
82,MLE,-1.299649510185542,-1.300769510185542,-1.298529510185542,5.714285714285765e-4,LEWI,2019_3,12.70822481226918,0.22468126589237283
83,MLE,-1.2209815785519775,-1.2235315785519774,-1.2184415785519775,0.0012984693877550555,LEWI,2019_7,12.70822481226918,0.22468126589237283
81,MLE,-1.288693519231929,-1.290133519231929,-1.2872535192319292,7.346938775509621e-4,LEWI,2019_10,12.70822481226918,0.22468126589237283
84,MLE,-1.23481999370806,-1.2365899937080598,-1.2330599937080597,9.005102040816411e-4,LEWI,2020_10,12.70822481226918,0.22468126589237283
85,MLE,-1.2588323183798313,-1.2599323183798312,-1.2577323183798312,5.612244897959132e-4,LEWI,2021_3,12.70822481226918,0.22468126589237283
86,MLE,-1.4088420762195413,-1.4104620762195412,-1.4072320762195414,8.23979591836695e-4,MART,2018_10,8.304635167848263,0.8880294148464093
87,MLE,-1.3237623599001913,-1.3271223599001913,-1.3204223599001912,0.001709183673469426,MART,2019_9,8.304635167848263,0.8880294148464093
88,MLE,-1.3674165054996579,-1.3695765054996578,-1.3652665054996578,0.0010994897959183767,MART,2020_9,8.304635167848263,0.8880294148464093
91,MLE,-1.302483107572504,-1.306903107572504,-1.298093107572504,0.002247448979591833,MAYF,2016_3,16.298517373589917,0.9041125105206427
92,MLE,-1.29009708712977,-1.29518708712977,-1.28504708712977,0.0025867346938775607,MAYF,2016_6,16.298517373589917,0.9041125105206427
89,MLE,-1.3596694123488333,-1.3628894123488333,-1.3564594123488334,0.001640306122448963,MAYF,2016_10,16.298517373589917,0.9041125105206427
90,MLE,-1.3084629059852888,-1.3125929059852888,-1.3043629059852888,0.002099489795918357,MAYF,2016_11,16.298517373589917,0.9041125105206427
94,MLE,-1.1738918312241513,-1.1778918312241513,-1.1699118312241512,0.002035714285714311,MAYF,2017_3,16.298517373589917,0.9041125105206427
95,MLE,-1.361612180699588,-1.3691521806995879,-1.3541621806995878,0.0038239795918367497,MAYF,2017_7,16.298517373589917,0.9041125105206427
93,MLE,-1.3916456519611342,-1.3978856519611342,-1.3854656519611341,0.0031683673469388007,MAYF,2017_10,16.298517373589917,0.9041125105206427
