sample_id,.epred,.lower,.upper,.width,.point,.interval
42,-1.246720731758356,-1.256136416944083,-1.2377594973590647,0.95,median,qi
43,-1.2186189254703377,-1.2403638091424996,-1.1975767797463746,0.95,median,qi
44,-1.2396794896490573,-1.2491051616622657,-1.2304323838430742,0.95,median,qi
45,-1.242904881227997,-1.2538994587090686,-1.232049810313459,0.95,median,qi
46,-1.186538055966374,-1.1899853003999992,-1.18332617376609,0.95,median,qi
47,-1.1986844498832108,-1.2022491320120223,-1.1947004755909834,0.95,median,qi
48,-1.2393565835988603,-1.2422710066989715,-1.2364497887085624,0.95,median,qi
49,-1.1913007258384591,-1.1993248499340325,-1.1835743067368194,0.95,median,qi
50,-1.2138510801777076,-1.2190063724738833,-1.209219462372066,0.95,median,qi
51,-1.2274870551435875,-1.2324678708844026,-1.2225366898585606,0.95,median,qi
52,-1.2226880055923992,-1.22717727524285,-1.218406690229347,0.95,median,qi
53,-1.2130012427539292,-1.2181676051385042,-1.2079036463085833,0.95,median,qi
63,-1.2751147580125601,-1.2818560010818298,-1.2685059717551608,0.95,median,qi
64,-1.2848236760211122,-1.2932419154209225,-1.2765031410574441,0.95,median,qi
65,-1.2897909149248186,-1.2935189395400861,-1.2859727438627029,0.95,median,qi
66,-1.2392959861517125,-1.2441018386466498,-1.2344505389760183,0.95,median,qi
67,-1.2970378803365754,-1.3023783326916907,-1.2912948954133592,0.95,median,qi
68,-1.2151408201937968,-1.220299958061539,-1.2099607069811198,0.95,median,qi
69,-1.2668579344929143,-1.2790370172982135,-1.254796694740717,0.95,median,qi
70,-1.1859387952996965,-1.193579848752114,-1.1785823336462329,0.95,median,qi
71,-1.2206075693375213,-1.2280861109325472,-1.2135064158476492,0.95,median,qi
72,-1.200148200806352,-1.2070742080933101,-1.193471285713666,0.95,median,qi
73,-1.1945886327216897,-1.2005911731693162,-1.1884111801539454,0.95,median,qi
74,-1.1829441959314337,-1.188675345507848,-1.1773136357366782,0.95,median,qi
75,-1.2327227479043854,-1.2465267077910036,-1.2191837752249577,0.95,median,qi
76,-1.2188450574012122,-1.2281352146834292,-1.2104765570664462,0.95,median,qi
77,-1.1976979899649645,-1.2057251164370681,-1.1891133731437313,0.95,median,qi
78,-1.2194809910692581,-1.2356999246233151,-1.2037444951199534,0.95,median,qi
80,-1.2070522138935271,-1.2111729957594073,-1.2029964450224444,0.95,median,qi
81,-1.2053998282288743,-1.2100932927236168,-1.2007099596656787,0.95,median,qi
82,-1.2101409434012957,-1.2133036055405646,-1.2068745085070507,0.95,median,qi
83,-1.2835406921708725,-1.303482553806709,-1.2648593389935923,0.95,median,qi
84,-1.1996634295558966,-1.2046061991772614,-1.19506632766834,0.95,median,qi
85,-1.2880689223124566,-1.2929420355024264,-1.2830866725087446,0.95,median,qi
86,-1.179555087023761,-1.1841166421448637,-1.174563401362543,0.95,median,qi
87,-1.2500351120031041,-1.2590532579107236,-1.2410179203679965,0.95,median,qi
88,-1.3555308121671383,-1.3714707029728708,-1.3398647272029822,0.95,median,qi
89,-1.191372266564569,-1.1956809600567233,-1.1871318913793176,0.95,median,qi
90,-1.203395903886261,-1.2088158454516313,-1.1978582261573107,0.95,median,qi
91,-1.2507191772221513,-1.2561455824364738,-1.24528762131873,0.95,median,qi
93,-1.2094772660326951,-1.2124560872723296,-1.2063945537481824,0.95,median,qi
94,-1.2058456469445216,-1.2096554005415148,-1.201917283363775,0.95,median,qi
95,-1.1837899318359677,-1.1919407938615751,-1.1756509017678194,0.95,median,qi
96,-1.1476268427279928,-1.154490866140992,-1.140918275254828,0.95,median,qi
97,-1.184706458130235,-1.1949811630795104,-1.174573658126932,0.95,median,qi
98,-1.1900191829581086,-1.1983440715247724,-1.1814358544858523,0.95,median,qi
99,-1.224082900371581,-1.2345318372650236,-1.214081208649119,0.95,median,qi
100,-1.1946917326210638,-1.2043281967454633,-1.185079298470847,0.95,median,qi
101,-1.189732462138215,-1.1993972070285412,-1.1798352044638563,0.95,median,qi
102,-1.1946055271429405,-1.2052714377643083,-1.1840262734289841,0.95,median,qi
103,-1.1996306368459835,-1.206513726712154,-1.192757549532514,0.95,median,qi
104,-1.1873342974474423,-1.1948240332131825,-1.1795108002173471,0.95,median,qi
106,-1.266160578667065,-1.273827012393132,-1.2589533968901108,0.95,median,qi
107,-1.2016134585831821,-1.2094938286217836,-1.1938582325903133,0.95,median,qi
108,-1.2611383783641106,-1.266459628791714,-1.2558746836629537,0.95,median,qi
109,-1.2120929619833445,-1.2263214417897883,-1.197644491166489,0.95,median,qi
110,-1.231282192994887,-1.2438789958112235,-1.2186911386670993,0.95,median,qi
111,-1.2245569038970623,-1.2284219702258439,-1.22070306024933,0.95,median,qi
112,-1.2927042649946254,-1.30930598908634,-1.2752590865773428,0.95,median,qi
114,-1.2198369590849563,-1.223201296629469,-1.2163089343526379,0.95,median,qi
116,-1.249132911700537,-1.2568075758716892,-1.2415340779769823,0.95,median,qi
117,-1.2941012981648317,-1.2983544528742335,-1.2897649725320024,0.95,median,qi
118,-1.206605410856558,-1.21850025689753,-1.1950072298060033,0.95,median,qi
119,-1.2548477979351909,-1.2622721888331718,-1.2469002934618532,0.95,median,qi
120,-1.208840543619506,-1.2169458998955998,-1.2005907370186568,0.95,median,qi
121,-1.301299988069398,-1.3074684915557275,-1.2951338008958184,0.95,median,qi
122,-1.2653048162534462,-1.2803996791014447,-1.250776266579839,0.95,median,qi
123,-1.2361982256920463,-1.2392309009562372,-1.2333581814250367,0.95,median,qi
124,-1.1951414329514396,-1.207464362633696,-1.1831468311970028,0.95,median,qi
125,-1.2103573360756767,-1.2241699722510495,-1.1976588209679349,0.95,median,qi
126,-1.2265626607134896,-1.2360639611532565,-1.2171498617198926,0.95,median,qi
127,-1.2320027194664611,-1.253398940774252,-1.211230629160176,0.95,median,qi
128,-1.2438029369511066,-1.2520840134125824,-1.235760093714332,0.95,median,qi
129,-1.2456716128582834,-1.2522881463038005,-1.2391791810747304,0.95,median,qi
130,-1.2869097628279216,-1.2930668911815129,-1.280374841501519,0.95,median,qi
131,-1.1946564158429205,-1.1997363197316033,-1.1896565494206526,0.95,median,qi
132,-1.1928727083129598,-1.2010033712175234,-1.1848263126154157,0.95,median,qi
133,-1.225050214276521,-1.2329249418360861,-1.2173079018003599,0.95,median,qi
134,-1.227852677231434,-1.2457673856260392,-1.2105400232333798,0.95,median,qi
135,-1.1940167524620202,-1.1984086959024451,-1.1897187740696,0.95,median,qi
136,-1.1960284808295514,-1.2009238802930902,-1.1912794569677936,0.95,median,qi
137,-1.1956138911399745,-1.2067107179953507,-1.184521399429941,0.95,median,qi
138,-1.199515067872231,-1.2050388575122464,-1.1942430320108484,0.95,median,qi
139,-1.1885987199194412,-1.1938500667598169,-1.1832618669491868,0.95,median,qi
140,-1.2077725481395052,-1.2136373264577727,-1.2019952935970906,0.95,median,qi
142,-1.2092107842284125,-1.2296874527450503,-1.1879709488204515,0.95,median,qi
143,-1.2313455150615011,-1.2544702423252296,-1.209810516211251,0.95,median,qi
144,-1.2531376001773005,-1.272889462879564,-1.2351204417461907,0.95,median,qi
145,-1.2789777064042784,-1.3041411851821845,-1.2551767833845064,0.95,median,qi
146,-1.205300706974731,-1.2117081788229889,-1.1992252423097625,0.95,median,qi
147,-1.2590454040138126,-1.2643250159659114,-1.2537531860036009,0.95,median,qi
148,-1.2043904567418022,-1.2113528607035624,-1.1974669408342604,0.95,median,qi
149,-1.230431020119402,-1.2498766393367005,-1.210684209534985,0.95,median,qi
150,-1.2463475330246692,-1.2710912392389837,-1.2221503268531861,0.95,median,qi
151,-1.2288998921522347,-1.2605588504380767,-1.2009647227618707,0.95,median,qi
