sitio_area_ID,subsample_ID,Lat,Long
CUPE_2021-01-25,NA,18.11352,-66.98676
GUIL_2016-02-02,NA,18.1741,-66.79851
GUIL_2017-01-31,NA,18.1741,-66.79851
GUIL_2017-06-21,NA,18.1741,-66.79851
GUIL_2018-01-30,NA,18.1741,-66.79851
GUIL_2018-07-03,NA,18.1741,-66.79851
GUIL_2018-11-13,NA,18.1741,-66.79851
GUIL_2019-01-28,NA,18.1741,-66.79851
GUIL_2020-02-26,NA,18.1741,-66.79851
GUIL_2020-11-18,NA,18.1741,-66.79851
GUIL_2021-02-03,NA,18.1741,-66.79851
GUIL_2021-06-29,NA,18.1741,-66.79851
HOPB_2017-07-11,NA,42.47179,-72.32963
HOPB_2017-10-03,NA,42.47179,-72.32963
HOPB_2018-07-09,NA,42.47179,-72.32963
HOPB_2020-06-22,NA,42.47179,-72.32963
HOPB_2020-07-14,NA,42.47179,-72.32963
HOPB_2021-07-28,NA,42.47179,-72.32963
KING_2016-10-05,NA,39.10506,-96.60336
KING_2017-07-14,NA,39.10506,-96.60336
KING_2017-07-14,NA,39.10506,-96.60336
KING_2019-07-12,NA,39.10506,-96.60336
KING_2019-07-12,NA,39.10506,-96.60336
KING_2019-10-01,NA,39.10506,-96.60336
KING_2020-06-03,NA,39.10506,-96.60336
KING_2020-07-20,NA,39.10506,-96.60336
KING_2020-07-20,NA,39.10506,-96.60336
KING_2020-09-29,NA,39.10506,-96.60336
LECO_2018-07-23,NA,35.69043,-83.50379
LECO_2019-03-26,NA,35.69043,-83.50379
LECO_2019-03-26,NA,35.69043,-83.50379
LECO_2020-06-09,NA,35.69043,-83.50379
LECO_2020-07-14,NA,35.69043,-83.50379
LECO_2021-10-18,NA,35.69043,-83.50379
LECO_2016-07-12,NA,35.69043,-83.50379
LEWI_2017-03-24,NA,39.09564,-77.98322
LEWI_2017-03-24,NA,39.09564,-77.98322
LEWI_2017-11-06,NA,39.09564,-77.98322
LEWI_2018-03-23,NA,39.09564,-77.98322
LEWI_2018-03-23,NA,39.09564,-77.98322
LEWI_2018-07-09,NA,39.09564,-77.98322
LEWI_2019-03-19,NA,39.09564,-77.98322
LEWI_2019-07-22,NA,39.09564,-77.98322
LEWI_2019-07-22,NA,39.09564,-77.98322
LEWI_2021-03-25,NA,39.09564,-77.98322
LEWI_2021-03-25,NA,39.09564,-77.98322
LEWI_2021-07-27,NA,39.09564,-77.98322
LEWI_2021-11-01,NA,39.09564,-77.98322
LEWI_2021-11-01,NA,39.09564,-77.98322
MART_2021-07-28,NA,45.79125,-121.93196
MAYF_2016-03-21,NA,32.95966,-87.40813
MAYF_2016-06-29,NA,32.95966,-87.40813
MAYF_2016-10-24,NA,32.95966,-87.40813
MAYF_2017-07-18,NA,32.95966,-87.40813
MAYF_2018-03-26,NA,32.95966,-87.40813
MAYF_2018-07-26,NA,32.95966,-87.40813
MAYF_2018-10-29,NA,32.95966,-87.40813
MAYF_2018-10-29,NA,32.95966,-87.40813
MAYF_2019-03-11,NA,32.95966,-87.40813
MAYF_2021-03-15,NA,32.95966,-87.40813
MAYF_2021-07-21,NA,32.95966,-87.40813
MAYF_2021-10-18,NA,32.95966,-87.40813
MAYF_2021-10-18,NA,32.95966,-87.40813
MCDI_2017-03-28,NA,38.94428,-96.44197
MCDI_2017-07-07,NA,38.94428,-96.44197
MCDI_2017-10-06,NA,38.94428,-96.44197
MCDI_2018-07-11,NA,38.94428,-96.44197
MCDI_2018-10-03,NA,38.94428,-96.44197
MCDI_2018-10-03,NA,38.94428,-96.44197
MCDI_2019-04-05,NA,38.94428,-96.44197
MCDI_2019-07-10,NA,38.94428,-96.44197
MCDI_2020-06-05,NA,38.94428,-96.44197
MCDI_2020-06-05,NA,38.94428,-96.44197
MCDI_2020-07-21,NA,38.94428,-96.44197
MCDI_2020-09-30,NA,38.94428,-96.44197
MCDI_2021-03-26,NA,38.94428,-96.44197
MCDI_2021-03-26,NA,38.94428,-96.44197
MCRA_2017-08-01,NA,44.2596,-122.16555
MCRA_2017-09-25,NA,44.2596,-122.16555
MCRA_2018-07-23,NA,44.2596,-122.16555
MCRA_2021-07-27,NA,44.2596,-122.16555
OKSR_2018-06-16,NA,68.66975,-149.14302
OKSR_2018-07-09,NA,68.66975,-149.14302
OKSR_2018-07-09,NA,68.66975,-149.14302
OKSR_2018-08-15,NA,68.66975,-149.14302
OKSR_2018-08-15,NA,68.66975,-149.14302
OKSR_2021-06-18,NA,68.66975,-149.14302
OKSR_2021-07-02,NA,68.66975,-149.14302
POSE_2016-07-18,NA,38.89332,-78.14678
POSE_2017-03-17,NA,38.89332,-78.14678
POSE_2017-03-17,NA,38.89332,-78.14678
