taxon_type_code,taxon_id,accepted_taxon_id,scientific_name,scientific_name_authorship,taxon_rank,vernacular_name,taxon_protocol_category,name_according_to_id,name_according_to_title,kingdom,subkingdom,infrakingdom,superdivision,division,subdivision,infradivision,parvdivision,superphylum,phylum,subphylum,infraphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,section,subsection,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,species,subspecies,variety,subvariety,form,subform,race,stirp,morph,abberation,unspecified,species_group,specific_epithet,infraspecific_epithet
FISH,ACIMED,ACIMED,Acipenser medirostris,Ayres,species,NA,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Acipenseriformes,NA,NA,NA,NA,NA,Acipenseridae,NA,NA,NA,Acipenser,NA,Acipenser medirostris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,medirostris,NA
FISH,ACIOXY,ACIOXY,Acipenser oxyrinchus,Mitchill,species,NA,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Acipenseriformes,NA,NA,NA,NA,NA,Acipenseridae,NA,NA,NA,Acipenser,NA,Acipenser oxyrinchus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oxyrinchus,NA
FISH,ACIOXY1,ACIOXY1,Acipenser oxyrinchus desotoi,Vladykov,subspecies,Gulf Sturgeon,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=624005 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=624005, accessed 31 Aug 2017",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Acipenseriformes,NA,NA,NA,NA,NA,Acipenseridae,NA,NA,NA,Acipenser,NA,Acipenser oxyrinchus,desotoi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oxyrinchus,desotoi
FISH,ACIOXY2,ACIOXY2,Acipenser oxyrinchus oxyrinchus,Mitchill,subspecies,Atlantic sturgeon,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=624004 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=624004, accessed 31 Aug 2017",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Acipenseriformes,NA,NA,NA,NA,NA,Acipenseridae,NA,NA,NA,Acipenser,NA,Acipenser oxyrinchus,oxyrinchus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oxyrinchus,oxyrinchus
FISH,ACIOXY3,ACIOXY1,Acipenser oxyrhynchus desotoi,Vladykov,subspecies,Gulf Sturgeon,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=201894 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=201894, accessed 31 Aug 2017",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Acipenseriformes,NA,NA,NA,NA,NA,Acipenseridae,NA,NA,NA,Acipenser,NA,Acipenser oxyrhynchus,desotoi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oxyrhynchus,desotoi
FISH,ACIOXY4,ACIOXY4,Acipenser oxyrhynchus,Mitchill,species,NA,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=573257 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=573257, accessed 31 Aug 2017",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Acipenseriformes,NA,NA,NA,NA,NA,Acipenseridae,NA,NA,NA,Acipenser,NA,Acipenser oxyrhynchus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oxyrhynchus,NA
FISH,ACISP,ACISP,Acipenser sp.,NA,genus,NA,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161065 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161065, accessed 31 Aug 2017",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Acipenseriformes,NA,NA,NA,NA,NA,Acipenseridae,NA,NA,NA,Acipenser,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sp.,NA
FISH,ACISP1,ACISP1,Acipenseridae sp.,NA,family,NA,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161064 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161064, accessed 31 Aug 2017",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Acipenseriformes,NA,NA,NA,NA,NA,Acipenseridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sp.,NA
FISH,ACISP2,ACISP2,Acipenseriformes sp.,NA,order,NA,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161063 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161063, accessed 31 Aug 2017",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Acipenseriformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sp.,NA
FISH,ACISPP,ACISPP,Acipenser spp.,NA,genus,NA,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161065 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161065, accessed 31 Aug 2017",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Acipenseriformes,NA,NA,NA,NA,NA,Acipenseridae,NA,NA,NA,Acipenser,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spp.,NA
FISH,ACISPP1,ACISPP1,Acipenseridae spp.,NA,family,NA,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161064 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161064, accessed 31 Aug 2017",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Acipenseriformes,NA,NA,NA,NA,NA,Acipenseridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spp.,NA
FISH,ACISPP2,ACISPP2,Acipenseriformes spp.,NA,order,NA,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161063 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161063, accessed 31 Aug 2017",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Acipenseriformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spp.,NA
FISH,ACITRA,ACITRA,Acipenser transmontanus,Richardson,species,NA,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Acipenseriformes,NA,NA,NA,NA,NA,Acipenseridae,NA,NA,NA,Acipenser,NA,Acipenser transmontanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,transmontanus,NA
FISH,ACRALU,ACRALU,Acrocheilus alutaceus,Agassiz & Pickering,species,NA,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Cypriniformes,NA,NA,NA,NA,NA,Cyprinidae,NA,NA,NA,Acrocheilus,NA,Acrocheilus alutaceus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,alutaceus,NA
FISH,ACRSP,ACRSP,Acrocheilus sp.,NA,genus,NA,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=163530 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=163530, accessed 31 Aug 2017",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Cypriniformes,NA,NA,NA,NA,NA,Cyprinidae,NA,NA,NA,Acrocheilus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sp.,NA
FISH,ACRSPP,ACRSPP,Acrocheilus spp.,NA,genus,NA,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=163530 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=163530, accessed 31 Aug 2017",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Cypriniformes,NA,NA,NA,NA,NA,Cyprinidae,NA,NA,NA,Acrocheilus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spp.,NA
FISH,ACTSP,ACTSP,Actinopterygii sp.,NA,class,NA,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161061 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161061, accessed 31 Aug 2017",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sp.,NA
FISH,ACTSPP,ACTSPP,Actinopterygii spp.,NA,class,NA,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161061 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=161061, accessed 31 Aug 2017",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spp.,NA
FISH,ADISP,ADISP,Adinia sp.,NA,genus,NA,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=165681 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=165681, accessed 31 Aug 2017",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Cyprinodontiformes,NA,NA,NA,NA,NA,Fundulidae,NA,NA,NA,Adinia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sp.,NA
FISH,ADISPP,ADISPP,Adinia spp.,NA,genus,NA,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=165681 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=165681, accessed 31 Aug 2017",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Cyprinodontiformes,NA,NA,NA,NA,NA,Fundulidae,NA,NA,NA,Adinia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spp.,NA
FISH,ADIXEN,ADIXEN,Adinia xenica,(Jordan & Gilbert),species,NA,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Cyprinodontiformes,NA,NA,NA,NA,NA,Fundulidae,NA,NA,NA,Adinia,NA,Adinia xenica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,xenica,NA
FISH,ADRSP,ADRSP,Adrianichthyidae sp.,NA,family,NA,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=165623 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=165623, accessed 31 Aug 2017",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Beloniformes,NA,NA,NA,NA,NA,Adrianichthyidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sp.,NA
FISH,ADRSPP,ADRSPP,Adrianichthyidae spp.,NA,family,NA,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=165623 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=165623, accessed 31 Aug 2017",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Beloniformes,NA,NA,NA,NA,NA,Adrianichthyidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spp.,NA
FISH,AGOCHR,AGOCHR,Agosia chrysogaster,Girard,species,NA,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Cypriniformes,NA,NA,NA,NA,NA,Cyprinidae,NA,NA,NA,Agosia,NA,Agosia chrysogaster,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chrysogaster,NA
FISH,AGOMON,AGOMON,Agonostomus monticola,(Bancroft),species,NA,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Mugiliformes,NA,NA,NA,NA,NA,Mugilidae,NA,NA,NA,Agonostomus,NA,Agonostomus monticola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monticola,NA
FISH,AGOOSC,RHIOSC,Agosia oscula,(Girard),species,NA,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Cypriniformes,NA,NA,NA,NA,NA,Cyprinidae,NA,NA,NA,Agosia,NA,Agosia oscula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oscula,NA
FISH,AGOSP,AGOSP,Agosia sp.,NA,genus,NA,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=163532 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=163532, accessed 31 Aug 2017",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Cypriniformes,NA,NA,NA,NA,NA,Cyprinidae,NA,NA,NA,Agosia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sp.,NA
FISH,AGOSP1,AGOSP1,Agonostomus sp.,NA,genus,NA,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=170354 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=170354, accessed 31 Aug 2017",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Mugiliformes,NA,NA,NA,NA,NA,Mugilidae,NA,NA,NA,Agonostomus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sp.,NA
FISH,AGOSPP,AGOSPP,Agosia spp.,NA,genus,NA,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=163532 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=163532, accessed 31 Aug 2017",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Cypriniformes,NA,NA,NA,NA,NA,Cyprinidae,NA,NA,NA,Agosia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spp.,NA
FISH,AGOSPP1,AGOSPP1,Agonostomus spp.,NA,genus,NA,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=170354 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=170354, accessed 31 Aug 2017",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Mugiliformes,NA,NA,NA,NA,NA,Mugilidae,NA,NA,NA,Agonostomus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spp.,NA
FISH,ALOAES,ALOAES,Alosa aestivalis,(Mitchill),species,NA,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Clupeiformes,NA,NA,NA,NA,NA,Clupeidae,NA,NA,NA,Alosa,NA,Alosa aestivalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aestivalis,NA
FISH,ALOALA,ALOALA,Alosa alabamae,Jordan & Evermann,species,NA,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Clupeiformes,NA,NA,NA,NA,NA,Clupeidae,NA,NA,NA,Alosa,NA,Alosa alabamae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,alabamae,NA
FISH,ALOCHR,ALOCHR,Alosa chrysochloris,(Rafinesque),species,NA,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Clupeiformes,NA,NA,NA,NA,NA,Clupeidae,NA,NA,NA,Alosa,NA,Alosa chrysochloris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chrysochloris,NA
