site,siteID,date,sampling_year,sampling_month
PRIN_2020-02-25,PRIN,2020-02-25,2020,2
PRIN_2020-11-05,PRIN,2020-11-05,2020,11
PRIN_2021-03-04,PRIN,2021-03-04,2021,3
PRIN_2021-06-28,PRIN,2021-06-28,2021,6
PRIN_2021-10-25,PRIN,2021-10-25,2021,10
REDB_2018-07-10,REDB,2018-07-10,2018,7
SYCA_2019-04-18,SYCA,2019-04-18,2019,4
SYCA_2019-06-12,SYCA,2019-06-12,2019,6
SYCA_2021-08-26,SYCA,2021-08-26,2021,8
SYCA_2022-04-05,SYCA,2022-04-05,2022,4
TECR_2021-05-11,TECR,2021-05-11,2021,5
TECR_2022-05-09,TECR,2022-05-09,2022,5
WALK_2015-07-08,WALK,2015-07-08,2015,7
WALK_2017-03-07,WALK,2017-03-07,2017,3
WALK_2017-07-10,WALK,2017-07-10,2017,7
WALK_2017-10-16,WALK,2017-10-16,2017,10
WALK_2018-03-13,WALK,2018-03-13,2018,3
WALK_2019-07-02,WALK,2019-07-02,2019,7
WALK_2022-03-15,WALK,2022-03-15,2022,3
WALK_2015-10-26,WALK,2015-10-26,2015,10
WALK_2016-03-10,WALK,2016-03-10,2016,3
KING_2017-10-05,KING,2017-10-05,2017,10
LEWI_2020-10-19,LEWI,2020-10-19,2020,10
POSE_2021-07-20,POSE,2021-07-20,2021,7
PRIN_2019-10-22,PRIN,2019-10-22,2019,10
SYCA_2019-02-07,SYCA,2019-02-07,2019,2
ARIK_2018-03-20,ARIK,2018-03-20,2018,3
ARIK_2015-03-25,ARIK,2015-03-25,2015,3
SYCA_2017-07-03,SYCA,2017-07-03,2017,7
BLDE_2018-07-18,BLDE,2018-07-18,2018,7
BLDE_2018-09-05,BLDE,2018-09-05,2018,9
BLDE_2019-05-02,BLDE,2019-05-02,2019,5
BLDE_2020-07-26,BLDE,2020-07-26,2020,7
BLDE_2021-06-22,BLDE,2021-06-22,2021,6
BLDE_2021-09-07,BLDE,2021-09-07,2021,9
COMO_2017-08-03,COMO,2017-08-03,2017,8
COMO_2019-08-07,COMO,2019-08-07,2019,8
CUPE_2015-05-08,CUPE,2015-05-08,2015,5
CUPE_2015-06-24,CUPE,2015-06-24,2015,6
CUPE_2016-01-29,CUPE,2016-01-29,2016,1
CUPE_2018-06-19,CUPE,2018-06-19,2018,6
CUPE_2019-11-25,CUPE,2019-11-25,2019,11
CUPE_2020-02-13,CUPE,2020-02-13,2020,2
CUPE_2020-11-23,CUPE,2020-11-23,2020,11
CUPE_2021-11-22,CUPE,2021-11-22,2021,11
GUIL_2015-05-20,GUIL,2015-05-20,2015,5
GUIL_2015-07-08,GUIL,2015-07-08,2015,7
GUIL_2015-12-01,GUIL,2015-12-01,2015,12
GUIL_2017-11-10,GUIL,2017-11-10,2017,11
GUIL_2019-11-11,GUIL,2019-11-11,2019,11
HOPB_2018-10-03,HOPB,2018-10-03,2018,10
MAYF_2014-11-14,MAYF,2014-11-14,2014,11
MCDI_2019-10-04,MCDI,2019-10-04,2019,10
MCRA_2019-07-31,MCRA,2019-07-31,2019,7
MCRA_2019-09-25,MCRA,2019-09-25,2019,9
MCRA_2020-08-03,MCRA,2020-08-03,2020,8
REDB_2015-10-12,REDB,2015-10-12,2015,10
REDB_2019-03-28,REDB,2019-03-28,2019,3
REDB_2019-07-08,REDB,2019-07-08,2019,7
REDB_2019-10-03,REDB,2019-10-03,2019,10
REDB_2021-07-19,REDB,2021-07-19,2021,7
SYCA_2020-01-28,SYCA,2020-01-28,2020,1
SYCA_2022-01-19,SYCA,2022-01-19,2022,1
TECR_2019-07-30,TECR,2019-07-30,2019,7
CARI_2020-09-09,CARI,2020-09-09,2020,9
LECO_2016-10-10,LECO,2016-10-10,2016,10
MART_2019-07-17,MART,2019-07-17,2019,7
REDB_2021-10-20,REDB,2021-10-20,2021,10
REDB_2022-03-29,REDB,2022-03-29,2022,3
WLOU_2019-07-23,WLOU,2019-07-23,2019,7
ARIK_2021-03-30,ARIK,2021-03-30,2021,3
BLDE_2019-07-22,BLDE,2019-07-22,2019,7
BLDE_2019-09-04,BLDE,2019-09-04,2019,9
BLDE_2020-08-30,BLDE,2020-08-30,2020,8
COMO_2016-09-06,COMO,2016-09-06,2016,9
COMO_2018-06-05,COMO,2018-06-05,2018,6
COMO_2018-08-07,COMO,2018-08-07,2018,8
COMO_2018-08-29,COMO,2018-08-29,2018,8
COMO_2019-08-26,COMO,2019-08-26,2019,8
COMO_2020-08-03,COMO,2020-08-03,2020,8
COMO_2020-08-31,COMO,2020-08-31,2020,8
GUIL_2016-06-27,GUIL,2016-06-27,2016,6
KING_2016-03-31,KING,2016-03-31,2016,3
MART_2018-04-20,MART,2018-04-20,2018,4
MART_2018-07-16,MART,2018-07-16,2018,7
MART_2018-10-09,MART,2018-10-09,2018,10
MART_2020-09-21,MART,2020-09-21,2020,9
MART_2022-04-18,MART,2022-04-18,2022,4
MAYF_2020-11-17,MAYF,2020-11-17,2020,11
MCDI_2018-03-27,MCDI,2018-03-27,2018,3
OKSR_2017-08-07,OKSR,2017-08-07,2017,8
POSE_2016-03-23,POSE,2016-03-23,2016,3
POSE_2016-10-31,POSE,2016-10-31,2016,10
